"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-DA-A1IC-06A-11R-A18S-07",0.0377701619703475,0,0.0286061339066927,0.22886145858983,0.0966844742846536,0.0313931907990997,0.136260619726679,0.00627820625940691,0.0188705548948617,0,0.415275199568428
"TCGA-D3-A5GU-06A-11R-A27Q-07",0.0141697261580807,0,0,0.605383326219347,0,0.117559572192616,0,0.034526663398425,0.0408092956293148,0,0.187551416402217
"TCGA-EE-A29E-06A-11R-A18T-07",0.0114222229394093,0.00340265334990787,0,0.290749572253836,0,0.0317501182916762,0,0,0.0848886398180757,0,0.577786793347095
"TCGA-EE-A2MJ-06A-11R-A18S-07",0.0962351225358808,0.0554072963311152,0.0290439206554573,0.145902504852242,0.00473002631055018,0.0171421571678692,0,0.13618898840835,0.0755005816789439,0.00651929549318579,0.433330106566405
"TCGA-D3-A51E-06A-11R-A266-07",0.0155411297769844,0.110475259271731,0,0.158847948574617,0.0138358728499747,0.034941093002051,0,0.051869026872907,0.041853582220948,0,0.572636087430787
"TCGA-GN-A4U3-06A-11R-A32P-07",0.0241929142659832,0.0630899813404622,0.0103885731529521,0.259043930739755,0,0.0373916307775818,0.0314163716438715,0,0.0270323778516526,0,0.547444220227742
"TCGA-FW-A5DY-06A-11R-A311-07",0.205493872023777,0.0354895754903343,0.0226047320078174,0.162463562550238,0,0.0323340026418331,0.121043124685891,0.0381396501895736,0.0334279192952332,0,0.349003561115303
"TCGA-D3-A3MO-06A-11R-A21D-07",0.0261969878103468,0,0,0.377351657946304,0,0.0895401342199897,0,0,0.0234399893880745,0,0.483471230635285
"TCGA-LH-A9QB-06A-11R-A38C-07",0.0554440742694609,0,0,0.479458436667498,0,0.105614705616351,0,0,0,0,0.35948278344669
"TCGA-EE-A3AH-06A-11R-A18S-07",0.0237745030363246,0,0,0.870791790623199,0,0.105433706340476,0,0,0,0,0
"TCGA-FS-A1ZC-06A-11R-A18T-07",0.0271130371102315,0,0,0.546039253991131,0,0.111201182219095,0,0,0.0305592558560934,0,0.285087270823449
"TCGA-GN-A4U9-06A-11R-A32P-07",0.0124563887220127,0.0305145681502588,0,0.0166058607583477,0.0263103902780623,0.0527513541640548,0.0878057134735853,0.000605497090172715,0.02255928861174,0.0618201394304227,0.688570799321343
"TCGA-GN-A262-06A-11R-A18T-07",0.00557585764794965,0,0.0070874258899044,0.328208351478993,0,0.0592769245297847,0.0335163397763113,0,0.00581460126766795,0,0.560520499409389
"TCGA-FS-A1ZS-06A-12R-A18T-07",0.0132171144390492,0.0240933583536344,0.0158552128758232,0,0,0.0543475666291176,0.0166287605505108,0,0.0399199229285513,0.0707117669746029,0.76522629724871
"TCGA-ER-A3EV-06A-11R-A20F-07",0.0177151698618661,0.00531624168821111,0.00732755414337186,0.235187396044459,0.0332054532406953,0.0420515464694318,0,0.0303548079507871,0.0178639909206658,0,0.610977839680512
"TCGA-FS-A1ZT-06A-11R-A18U-07",0.0527124117743351,0.0326525896457402,0.00629143370235636,0.186015185978724,0.0404623979344624,0.0339088161687582,0,0.0521813644205203,0.0443600985718621,0.0314805895869774,0.519935112216264
"TCGA-D3-A2JG-06A-11R-A18T-07",0.0101617517955214,0.0213972399557801,0.012255945200587,0.0943095626160728,0.116802224369652,0.0243962752291273,0,0,0.0106669642290318,0,0.710010036604228
"TCGA-HR-A2OG-06A-21R-A18U-07",0.0498217894811357,0.0715854183884676,0.0313302101734871,0.310602614307328,0,0.040691823646372,0,0,0.0242482735838882,0,0.471719870419321
"TCGA-FS-A4F4-06A-12R-A266-07",0.0243093727652604,0,0.0429916296849482,0.217676112223169,0,0.0245121586970939,0,0.0241946613491469,0.014751733236349,0,0.651564332044033
"TCGA-ER-A198-06A-11R-A18T-07",0.0197248626816548,0.0140195359576366,0.0387448586898676,0.0286989118951247,0.282234428254545,0.0181677346030868,0.0258806622845857,0.00199959914322974,0.0245381098455807,0.00799615060351036,0.537995146041178
"TCGA-DA-A1I0-06A-11R-A20F-07",0.0212420268419717,0.0155636845827909,0.0237403621500836,0.106742829185923,0,0.013998750144122,0.118518336705588,0.00937586625298967,0.0207931016830055,0.0133105137628187,0.656714528690706
