"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-D3-A3C3-06A-12R-A18S-07",0.0885783092032491,0,0.0290203667173463,0.191579516393974,0,0.229977143065181,0,0.0457026410666753,0.0592816665832606,0,0.032152550945396,0.00527445752269465,0.020502046319166,0,0.0806262012894347,0.171963947418977,0.0453411534746451,0,0,0,0,0,0.16,0.0970537967808375,1.06271454890746
"TCGA-EE-A17Z-06A-11R-A18S-07",0.240579245304973,0,0.0594974604036989,0.00856803727086385,0,0.234999827894094,0,0.0479826777180988,0,0,0.0951051333066007,0.0279172082822455,0.0946073795407032,0,0,0.182136942666296,0.00860608761242559,0,0,0,0,0,0.74,-0.0108886819449447,1.10687186538879
"TCGA-ER-A19J-06A-11R-A18S-07",0.0375426095678776,0,0.00826701633039005,0.10744768473463,0,0.0398428498230905,0.00382948485183361,0,0.0528009230572109,0,0.0415835241309075,0,0,0.281448960510144,0.0277653376593994,0.373278364463705,0,0,0,0,0.0218062375709109,0.00438700729989955,0.38,0.0372836121385772,1.10787151939966
"TCGA-YD-A9TA-06A-11R-A39D-07",0.108611826045155,0,0.0458892766692931,0.0615917020133236,0,0.0973625183348766,0.0685167112001721,0.041386150300099,0.0164378018424874,0,0.125052347752138,0,0,0.202055147457242,0.0409544225774839,0.154446817086712,0,0,0,0.0376952787210169,0,0,0.02,0.257502221982218,0.980442908289494
"TCGA-D9-A6EG-06A-12R-A32P-07",0,0,0,0,0.00310907138092942,0.435861396928184,0.0476531348212186,0,0.0501072388069915,0,0.210995608623015,0,0,0.168925127669717,0,0.0263108340607272,0,0,0,0.0110177816405811,0.0460198060686375,0,0.81,-0.017147781820726,1.144146610553
"TCGA-EE-A29P-06A-11R-A18T-07",0.0200279162790073,0,0.0403110102397966,0.282440032972418,0,0.134491128661583,0,0.0653834992555967,0.08951508259795,0,0.075974310368102,0.0101593730859057,0.0564154338654159,0.0291682764800166,0.0727397675138384,0.12337416868037,0,0,0,0,0,0,0.09,0.143706696786321,1.0545589233829
"TCGA-EE-A20B-06A-11R-A18U-07",0.136648148769854,0,0.085783389989707,0.235358004406829,0,0.111054889615001,0,0.00562147088827289,0.0675995724614786,0,0.0599840362910148,0.00224336044814054,0.0278416261401813,0.0463297275321655,0.0440814703488228,0.145507809462066,0.0205391074973029,0,0.0114073861491632,0,0,0,0.01,0.292740655224034,0.969362127395567
"TCGA-FR-A8YC-06A-11R-A37K-07",0.122482869181306,0,0.0953236191565081,0.202488004771556,0,0.138510024025192,0,0.0443995014613407,0.0315349574378543,0,0.0734016434022812,0,0.0218473352567238,0,0.0241360972562679,0.24587594805097,0,0,0,0,0,0,0.07,0.169959544648185,1.02665911840944
"TCGA-WE-A8ZM-06A-11R-A37K-07",0,0,0,0.191100036791801,0,0.215927241159234,0,0,0.135061523540812,0,0,0.0514189230858033,0.0177907976465076,0.113308758750186,0,0.275392719025656,0,0,0,0,0,0,0.99,-0.0656720906117969,1.14963786037221
"TCGA-EE-A29C-06A-21R-A18S-07",0.0793724301954713,0,0.0741856371837707,0.0225103321951527,0,0.0728703908112381,0,0,0.0741167276862377,0,0.0436000880983032,0,0,0.401015555549539,0.0206164872583827,0.192707570049905,0,0,0.0190047809719994,0,0,0,0.02,0.263696271782664,0.998029380221216
